516	194	MATH	3
52	304	MATH	3
522	199	BIOL	3
528	282	CMSC	3
53	36	ICPR	2
532	245	MUSC	2
533	320	COML	3
535	174	COML	2
536	118	ARTS	1
543	239	HIST	2
545	228	ENGL	2
546	227	ECON	2
547	8	CHEM	3
548	107	CHEM	3
549	77	PHIL	1
553	85	ARTS	2
554	19	HIST	3
557	187	RELG	3
560	54	PSYC	3
563	261	MATH	1
565	273	CMSC	2
572	267	ENGL	3
573	296	BIOL	4
574	85	ARTS	1
576	68	EAST	1
577	196	ARTS	1
58	157	POLS	2
580	1	RELG	3
581	254	WRPR	1
585	97	ANTH	2
59	196	ARTS	4
590	39	ASTR	1
596	30	JNSE	2
60	127	WRPR	1
603	85	ARTS	1
605	196	ARTS	3
606	180	EDUC	3
610	179	PSYC	3
611	251	MATH	3
612	205	MATH	3
613	202	ARTS	1
615	134	MATH	1
618	4	SPAN	1
62	87	PSYC	2
620	71	SOCL	2
627	112	ANTH	2
629	104	SOCL	2
63	31	PSYC	2
631	225	BIOL	3
632	134	MATH	1
641	196	ARTS	3
651	296	BIOL	2
651L	246	BIOL	2
655	50	BIOL	3
659	180	EDUC	2
662	248	PSYC	3
664	196	ARTS	2
665	323	RELG	1
669	224	CMSC	3
675	76	FREN	0
679	282	MATH	3
68	180	EDUC	3
684	261	MATH	1
686	77	PHIL	2
687	43	ICPR	2
689	36	ARTS	2
69	62	PSYC	2
692	330	COML	2
7	178	PHYS	1
704	318	WRPR	1
707	196	ARTS	1
709	56	PHYS	1
709L		PHYS	1
714	67	ENGL	2
717	182	RELG	1
718	202	ARTS	1
72	21	POLS	2
720	95	CHEM	1
729	20	CHEM	3
729L		CHEM	3
731	228	FREN	2
732	68	ICPR	2
734	112	ANTH	3
736	311	ARTS	2
737	9	CHEM	2
737L	119	CHEM	2
740	159	CHEM	3
741	196	ARTS	2
746	218	ENGL	3
747	166	ECON	2
79	14	JNSE	1
81	174	GERM	1
84	143	SPAN	3
89	159	CHEM	3
9	281	POLS	3
91	43	ICPR	1
93	248	PSYC	3
98	4	SPAN	0
